ID,Layer,Component_Exchange,Kind,Source_Component,Source_Port,Target_Component,Target_Port,Allocated_Functional_Exchange,Origin,Component_Exchange_UUID,Definition_Status
SA-CE-01,SA,Incident Acoustic Excitation,FLOW,Aircraft Acoustic Environment,Incident Acoustic Excitation,Hybrid Acoustic Comfort Cell (HACC),Incident Acoustic Excitation,Incident Acoustic Excitation,BASE,530be127-b91a-5645-8fc4-f2b6cd153cc4,Architecture boundary defined; detailed data/energy contract outside portfolio scope
PA-CE-01,PA,Incident Acoustic Excitation,FLOW,Aircraft Acoustic Environment,Incident Acoustic Excitation,HACC Physical System,Incident Acoustic Excitation,Incident Acoustic Excitation,BASE,6f9b70bd-8c23-59bb-9f08-bc37a09afacf,Architecture boundary defined; detailed data/energy contract outside portfolio scope
PA-CE-02,PA,Passive Cabin Acoustic Environment,FLOW,HACC Physical System,Passive Cabin Acoustic Environment,VIP Passenger,Passive Cabin Acoustic Environment,Passive Cabin Acoustic Environment,BASE,c2a03855-a489-5856-ba9a-95a3b2556b0f,Architecture boundary defined; detailed data/energy contract outside portfolio scope
PA-CE-03,PA,Crew Enable or Disable Request,FLOW,Cabin Crew,Crew Enable or Disable Request,HACC Physical System,Crew Enable or Disable Request,Crew Enable or Disable Request,BASE,a6116b16-c871-5b3d-af6e-03214b1012e0,Architecture boundary defined; detailed data/energy contract outside portfolio scope
PA-CE-04,PA,Crew HACC Availability Indication,FLOW,HACC Physical System,Crew HACC Availability Indication,Cabin Crew,Crew HACC Availability Indication,Crew HACC Availability Indication,BASE,26953d4b-8cc0-5d4d-b013-d084e3efbe8e,Architecture boundary defined; detailed data/energy contract outside portfolio scope
PA-CE-05,PA,Maintenance Diagnostic Information,FLOW,HACC Physical System,Maintenance Diagnostic Information,Maintenance Technician,Maintenance Diagnostic Information,Maintenance Diagnostic Information,BASE,c81c4058-af6a-53e3-a025-f0f07241cdc4,Architecture boundary defined; detailed data/energy contract outside portfolio scope
PA-CE-06,PA,Read-Only Cabin Management Status [EXT],FLOW,HACC Physical System,Read-Only Cabin Management Status [EXT],Cabin Management System [EXT],Read-Only Cabin Management Status [EXT],Read-Only Cabin Management Status [EXT],EXT,a478b3e6-12e5-5900-b1b4-c6cce9a801e6,Architecture boundary defined; detailed data/energy contract outside portfolio scope
PA-CE-07,PA,Selected Ground Diagnostic Records [EXT],FLOW,HACC Physical System,Selected Ground Diagnostic Records [EXT],Ground Maintenance Service [EXT],Selected Ground Diagnostic Records [EXT],Selected Ground Diagnostic Records [EXT],EXT,451006dc-a473-5d97-872f-a6f240fef3a6,Architecture boundary defined; detailed data/energy contract outside portfolio scope
PA-CE-08,PA,Passenger-Ear Acoustic Field,FLOW,VIP Passenger,Passenger-Ear Acoustic Field,HACC Physical System,Passenger-Ear Acoustic Field,Passenger-Ear Acoustic Field,BASE,07371471-6cad-53b6-9113-c6e5200cd281,Architecture boundary defined; detailed data/energy contract outside portfolio scope
PA-CE-09,PA,Local Maintenance Diagnostic Request,FLOW,Maintenance Technician,Local Maintenance Diagnostic Request,HACC Physical System,Local Maintenance Diagnostic Request,Local Maintenance Diagnostic Request,BASE,0c53b799-43a4-50bd-87b6-ce528b3e5bdf,Architecture boundary defined; detailed data/energy contract outside portfolio scope
PA-CE-10,PA,Transmitted Acoustic Energy,FLOW,Passive Enclosure Behaviour,Transmitted Acoustic Energy,Dominant-Bay Resonance Treatment Behaviour,Transmitted Acoustic Energy,Transmitted Acoustic Energy,BASE,ac188310-6bab-534b-b747-c54a72179f8b,Architecture boundary defined; detailed data/energy contract outside portfolio scope
PA-CE-11,PA,Damped Residual,FLOW,Dominant-Bay Resonance Treatment Behaviour,Damped Residual,Tuned Resonator Module Behaviour,Damped Residual,Damped Residual,BASE,69e5f9a5-4001-5938-b1c6-9d844723bf07,Architecture boundary defined; detailed data/energy contract outside portfolio scope
PA-CE-12,PA,Structural Reference Signal,FLOW,Structural Reference Sensing Behaviour,Structural Reference Signal,ANC Controller and Fault Manager Behaviour,Structural Reference Signal,Structural Reference Signal,BASE,b04645c8-7d26-58d7-9c6f-f7ba43bc7513,Architecture boundary defined; detailed data/energy contract outside portfolio scope
PA-CE-13,PA,Ear-Side Error Signal,FLOW,Error Sensing Behaviour,Ear-Side Error Signal,ANC Controller and Fault Manager Behaviour,Ear-Side Error Signal,Ear-Side Error Signal,BASE,bf0b4636-1dd7-57f3-b5bc-b695929c440c,Architecture boundary defined; detailed data/energy contract outside portfolio scope
PA-CE-14,PA,Seated Cancellation Command,FLOW,ANC Controller and Fault Manager Behaviour,Seated Cancellation Command,Seated Headrest Actuator Subsystem Behaviour,Seated Cancellation Command,Seated Cancellation Command,BASE,37d3b347-1b37-51e1-8b0c-6de58f8057ad,Architecture boundary defined; detailed data/energy contract outside portfolio scope
PA-CE-15,PA,Seat Mode,FLOW,Seat-Mode Manager Behaviour,Seat Mode,ANC Controller and Fault Manager Behaviour,Seat Mode,Seat Mode,BASE,1790401a-d3f1-5e88-a947-25b7e090e471,Architecture boundary defined; detailed data/energy contract outside portfolio scope
PA-CE-16,PA,Crew Disable Command,FLOW,Crew Control Interface Behaviour,Crew Disable Command,ANC Controller and Fault Manager Behaviour,Crew Disable Command,Crew Disable Command,BASE,cb608cde-1564-5ee8-bd1d-e82bac0d65b9,Architecture boundary defined; detailed data/energy contract outside portfolio scope
PA-CE-17,PA,Maintenance Diagnostic Data,FLOW,ANC Controller and Fault Manager Behaviour,Maintenance Diagnostic Data,Health and Diagnostics Behaviour,Maintenance Diagnostic Data,Maintenance Diagnostic Data,BASE,8d870674-8f0b-5291-b87d-bc6f0cd48ecc,Architecture boundary defined; detailed data/energy contract outside portfolio scope
PA-CE-18,PA,Cabin Management Status [EXT],FLOW,ANC Controller and Fault Manager Behaviour,Cabin Management Status [EXT],Cabin Management Adapter [EXT] Behaviour,Cabin Management Status [EXT],Cabin Management Status [EXT],EXT,fcbe9fcf-5a3b-51ca-ae57-8c0c1b2372ac,Architecture boundary defined; detailed data/energy contract outside portfolio scope
PA-CE-19,PA,Ground Diagnostic Data [EXT],FLOW,Health and Diagnostics Behaviour,Ground Diagnostic Data [EXT],Ground Maintenance Adapter [EXT] Behaviour,Ground Diagnostic Data [EXT],Ground Diagnostic Data [EXT],EXT,2ba76ca4-1ed5-53dc-8d44-c90eeffc5b54,Architecture boundary defined; detailed data/energy contract outside portfolio scope
PA-CE-20,PA,Bed-Mode Cancellation Command,FLOW,ANC Controller and Fault Manager Behaviour,Bed-Mode Cancellation Command,Bed-Mode Actuator Subsystem Behaviour,Bed-Mode Cancellation Command,Bed-Mode Cancellation Command,BASE,d17ac748-3c52-52bb-8599-aa92608f13e4,Architecture boundary defined; detailed data/energy contract outside portfolio scope
PA-CE-21,PA,Seated Secondary Acoustic Contribution,FLOW,Seated Headrest Actuator Subsystem Behaviour,Seated Secondary Acoustic Contribution,Error Sensing Behaviour,Seated Secondary Acoustic Contribution,Seated Secondary Acoustic Contribution,BASE,f8a67753-c52a-543c-a5df-c1632563de35,Architecture boundary defined; detailed data/energy contract outside portfolio scope
PA-CE-22,PA,Bed-Mode Secondary Acoustic Contribution,FLOW,Bed-Mode Actuator Subsystem Behaviour,Bed-Mode Secondary Acoustic Contribution,Error Sensing Behaviour,Bed-Mode Secondary Acoustic Contribution,Bed-Mode Secondary Acoustic Contribution,BASE,0986528b-accb-5105-be2e-1471683bd406,Architecture boundary defined; detailed data/energy contract outside portfolio scope
PA-CE-23,PA,Measured Seat Position,FLOW,Seat-Position Sensing Behaviour,Measured Seat Position,Seat-Mode Manager Behaviour,Measured Seat Position,Measured Seat Position,BASE,6306f8fa-f920-590b-99b9-63a2f94329a1,Architecture boundary defined; detailed data/energy contract outside portfolio scope
PA-CE-24,PA,Delegate Incident Acoustic Excitation,DELEGATION,HACC Physical System,Incident Acoustic Excitation,Passive Enclosure Behaviour,Incident Acoustic Excitation,Boundary delegation,BASE,2d448cd1-15b6-5df3-bd04-cd73bf95147e,Architecture boundary defined; detailed data/energy contract outside portfolio scope
PA-CE-25,PA,Delegate Passive Cabin Acoustic Environment,DELEGATION,HACC Physical System,Passive Cabin Acoustic Environment,Tuned Resonator Module Behaviour,Passive Cabin Acoustic Environment,Boundary delegation,BASE,58cd9e2f-758d-5718-a43b-1724e999fcc3,Architecture boundary defined; detailed data/energy contract outside portfolio scope
PA-CE-26,PA,Delegate Crew Enable or Disable Request,DELEGATION,HACC Physical System,Crew Enable or Disable Request,Crew Control Interface Behaviour,Crew Enable or Disable Request,Boundary delegation,BASE,b15a3a80-fd91-5cf5-acea-6ce79543b5f6,Architecture boundary defined; detailed data/energy contract outside portfolio scope
PA-CE-27,PA,Delegate Crew HACC Availability Indication,DELEGATION,HACC Physical System,Crew HACC Availability Indication,ANC Controller and Fault Manager Behaviour,Crew HACC Availability Indication,Boundary delegation,BASE,cb656358-131d-5038-8c00-1a6f50b0e744,Architecture boundary defined; detailed data/energy contract outside portfolio scope
PA-CE-28,PA,Delegate Maintenance Diagnostic Information,DELEGATION,HACC Physical System,Maintenance Diagnostic Information,Health and Diagnostics Behaviour,Maintenance Diagnostic Information,Boundary delegation,BASE,e066654a-f6ae-5ffb-af21-6c0812cfcdba,Architecture boundary defined; detailed data/energy contract outside portfolio scope
PA-CE-29,PA,Delegate Read-Only Cabin Management Status [EXT],DELEGATION,HACC Physical System,Read-Only Cabin Management Status [EXT],Cabin Management Adapter [EXT] Behaviour,Read-Only Cabin Management Status [EXT],Boundary delegation,EXT,6989c1fb-7c2c-5b13-81e6-4f2b19651892,Architecture boundary defined; detailed data/energy contract outside portfolio scope
PA-CE-30,PA,Delegate Selected Ground Diagnostic Records [EXT],DELEGATION,HACC Physical System,Selected Ground Diagnostic Records [EXT],Ground Maintenance Adapter [EXT] Behaviour,Selected Ground Diagnostic Records [EXT],Boundary delegation,EXT,dfdcfb8b-f8fe-566d-b8f5-fa4760b9b909,Architecture boundary defined; detailed data/energy contract outside portfolio scope
PA-CE-31,PA,Delegate Passenger-Ear Acoustic Field,DELEGATION,HACC Physical System,Passenger-Ear Acoustic Field,Error Sensing Behaviour,Passenger-Ear Acoustic Field,Boundary delegation,BASE,cfcac8ab-1005-5152-8f63-a5fe4d4477b2,Architecture boundary defined; detailed data/energy contract outside portfolio scope
PA-CE-32,PA,Delegate Local Maintenance Diagnostic Request,DELEGATION,HACC Physical System,Local Maintenance Diagnostic Request,Health and Diagnostics Behaviour,Local Maintenance Diagnostic Request,Boundary delegation,BASE,8edb6f84-78aa-5bec-ae28-68c75ed8582d,Architecture boundary defined; detailed data/energy contract outside portfolio scope
